sector,from_iso3,to_iso3,dggo
Agriculture,USA,USA,0.0
Agriculture,LUX,USA,1818.828125
Agriculture,SWE,USA,278878.646484375
Agriculture,DEU,USA,10235780.205078125
Agriculture,IDN,USA,-48392599.435546875
Agriculture,BGR,USA,3017194.06640625
Agriculture,GBR,USA,5868044.228515625
Agriculture,CAN,USA,622283421.70703125
Agriculture,KOR,USA,4977975.9453125
Agriculture,CYP,USA,47256.4765625
Agriculture,BEL,USA,2110023.26171875
Agriculture,HUN,USA,225804.748046875
Agriculture,PRT,USA,245486.875
Agriculture,POL,USA,534758.123046875
Agriculture,NLD,USA,25261020.595703125
Agriculture,ROU,USA,0.0
Agriculture,SVN,USA,178554.591796875
Agriculture,FRA,USA,9092547.15234375
Agriculture,EST,USA,97530.380859375
Agriculture,SVK,USA,65730.494140625
Agriculture,LTU,USA,33183.27734375
Agriculture,ESP,USA,8967233.6640625
Agriculture,TWN,USA,0.0
Agriculture,CHN,USA,43368508.576171875
Agriculture,AUS,USA,5087162.2890625
Agriculture,LVA,USA,33125.662109375
Agriculture,IRL,USA,3203173.90625
Agriculture,DNK,USA,5005099.5234375
Agriculture,MLT,USA,126572.37109375
Agriculture,FIN,USA,359930.982421875
Agriculture,RoW,USA,-1367169719.7480469
Agriculture,JPN,USA,4686518.298828125
Agriculture,TUR,USA,1692493.736328125
Agriculture,ITA,USA,5355000.728515625
Agriculture,AUT,USA,122885.095703125
Agriculture,IND,USA,-15874957.296875
Agriculture,RUS,USA,258286.310546875
Agriculture,CZE,USA,474625.4140625
Agriculture,MEX,USA,264801384.75195312
Agriculture,BRA,USA,55962145.423828125
Agriculture,GRC,USA,1304796.47265625
Agriculture,USA,LUX,23665137.0
Agriculture,LUX,LUX,0.0
Agriculture,SWE,LUX,1565.91796875
Agriculture,DEU,LUX,10811823.626953125
Agriculture,IDN,LUX,-12409763.830078125
Agriculture,BGR,LUX,528555.7109375
Agriculture,GBR,LUX,77829.13671875
Agriculture,CAN,LUX,2378873.32421875
Agriculture,KOR,LUX,0.0
Agriculture,CYP,LUX,30240.88671875
Agriculture,BEL,LUX,26670976.470703125
Agriculture,HUN,LUX,529014.98828125
Agriculture,PRT,LUX,545106.2265625
Agriculture,POL,LUX,488806.3828125
Agriculture,NLD,LUX,9206234.294921875
Agriculture,ROU,LUX,0.0
Agriculture,SVN,LUX,120.587890625
Agriculture,FRA,LUX,29978260.94140625
Agriculture,EST,LUX,285.0
Agriculture,SVK,LUX,279.046875
Agriculture,LTU,LUX,301755.671875
Agriculture,ESP,LUX,1815483.599609375
Agriculture,TWN,LUX,0.0
Agriculture,CHN,LUX,211725.177734375
Agriculture,AUS,LUX,29811.4609375
Agriculture,LVA,LUX,14223.203125
Agriculture,IRL,LUX,19087.9765625
Agriculture,DNK,LUX,736609.822265625
Agriculture,MLT,LUX,1518.126953125
Agriculture,FIN,LUX,1314.265625
Agriculture,RoW,LUX,-116095774.06445312
Agriculture,JPN,LUX,22960.1875
Agriculture,TUR,LUX,-117907.2109375
Agriculture,ITA,LUX,1277164.701171875
Agriculture,AUT,LUX,53073.197265625
Agriculture,IND,LUX,-106946.66015625
Agriculture,RUS,LUX,785.42578125
Agriculture,CZE,LUX,231009.40234375
Agriculture,MEX,LUX,15682.359375
Agriculture,BRA,LUX,573999.419921875
Agriculture,GRC,LUX,85959.626953125
Agriculture,USA,SWE,11110232.5859375
Agriculture,LUX,SWE,13071.103515625
Agriculture,SWE,SWE,0.0
Agriculture,DEU,SWE,27163856.578125
Agriculture,IDN,SWE,-216275.88671875
Agriculture,BGR,SWE,322587.00390625
Agriculture,GBR,SWE,2434192.873046875
Agriculture,CAN,SWE,847075.841796875
Agriculture,KOR,SWE,18835.3046875
Agriculture,CYP,SWE,204194.908203125
Agriculture,BEL,SWE,5453615.966796875
Agriculture,HUN,SWE,1214923.22265625
Agriculture,PRT,SWE,85980.21875
Agriculture,POL,SWE,3195098.125
Agriculture,NLD,SWE,63052743.076171875
Agriculture,ROU,SWE,0.0
Agriculture,SVN,SWE,13376.85546875
Agriculture,FRA,SWE,9705981.45703125
Agriculture,EST,SWE,5613213.330078125
Agriculture,SVK,SWE,13432.435546875
Agriculture,LTU,SWE,3385073.11328125
Agriculture,ESP,SWE,16260103.9140625
Agriculture,TWN,SWE,0.0
Agriculture,CHN,SWE,844059.205078125
Agriculture,AUS,SWE,38622.263671875
Agriculture,LVA,SWE,16878448.001953125
Agriculture,IRL,SWE,540805.779296875
Agriculture,DNK,SWE,39940682.35546875
Agriculture,MLT,SWE,0.0
Agriculture,FIN,SWE,4446499.560546875
Agriculture,RoW,SWE,-407224447.89453125
Agriculture,JPN,SWE,76042.267578125
Agriculture,TUR,SWE,253236.607421875
Agriculture,ITA,SWE,8202737.13671875
Agriculture,AUT,SWE,342353.91796875
Agriculture,IND,SWE,-341700.60546875
Agriculture,RUS,SWE,2534180.12890625
Agriculture,CZE,SWE,801485.740234375
Agriculture,MEX,SWE,353295.6328125
Agriculture,BRA,SWE,7523670.734375
Agriculture,GRC,SWE,718172.77734375
Agriculture,USA,DEU,72867066.94140625
Agriculture,LUX,DEU,6238448.279296875
Agriculture,SWE,DEU,151816.17578125
Agriculture,DEU,DEU,0.0
Agriculture,IDN,DEU,-23271663.283203125
Agriculture,BGR,DEU,6248013.419921875
Agriculture,GBR,DEU,2177157.033203125
Agriculture,CAN,DEU,12264296.8984375
Agriculture,KOR,DEU,159637.98828125
Agriculture,CYP,DEU,152833.642578125
Agriculture,BEL,DEU,19826566.216796875
Agriculture,HUN,DEU,35823362.5703125
Agriculture,PRT,DEU,939834.587890625
Agriculture,POL,DEU,49424456.775390625
