country_iso3,sector,ggodelta
USA,Agriculture,-146580
USA,Mining,-10988
USA,Food,-1178217
USA,Textiles,-222239
USA,Leather,-49164
USA,Wood,-12685
USA,Paper,-198260
USA,Fuel,-469319
USA,Chemicals,-493501
USA,Plastics,-75263
USA,Minerals,-23245
USA,Metals,-96415
USA,Machinery,-104412
USA,Electricals,-202767
USA,Vehicles,-473570
USA,Manufacturing,-179957
USA,Utilities,-337123
USA,Construction,-255
USA,Vehicle Trade,-309638
USA,Wholesale Trade,-611299
USA,Retail Trade,-1560701
USA,Hospitality,-1128318
USA,Inland Transport,-194293
USA,Water Transport,-30269
USA,Air Transport,-179358
USA,Transport Services,-26579
USA,Communications,-414009
USA,Financial Services,-1550971
USA,Real Estate,-2213392
USA,Business Services,-466382
USA,Public Services,-4792761
USA,Education,-304953
USA,Health,-2653686
USA,Other Services,-1011850
USA,Private Households,-14743
LUX,Agriculture,-744
LUX,Mining,-2
LUX,Food,-3394
LUX,Textiles,-844
LUX,Leather,-161
LUX,Wood,-18
LUX,Paper,-685
LUX,Fuel,-1109
LUX,Chemicals,-1324
LUX,Plastics,-428
LUX,Minerals,-137
LUX,Metals,-448
LUX,Machinery,-340
LUX,Electricals,-419
LUX,Vehicles,-2669
LUX,Manufacturing,-644
LUX,Utilities,-860
LUX,Construction,-239
LUX,Vehicle Trade,-756
LUX,Wholesale Trade,-3246
LUX,Retail Trade,-2610
LUX,Hospitality,-2292
LUX,Inland Transport,-727
LUX,Water Transport,-19
LUX,Air Transport,-120
LUX,Transport Services,-142
LUX,Communications,-488
LUX,Financial Services,-1153
LUX,Real Estate,-3796
LUX,Business Services,-363
LUX,Public Services,-5034
LUX,Education,-2393
LUX,Health,-4772
LUX,Other Services,-1128
LUX,Private Households,-194
SWE,Agriculture,-6818
SWE,Mining,-173
SWE,Food,-39226
SWE,Textiles,-5826
SWE,Leather,-1139
SWE,Wood,-1604
SWE,Paper,-7859
SWE,Fuel,-9819
SWE,Chemicals,-12364
SWE,Plastics,-2371
SWE,Minerals,-1634
SWE,Metals,-2834
SWE,Machinery,-4795
SWE,Electricals,-9042
SWE,Vehicles,-24082
SWE,Manufacturing,-7254
SWE,Utilities,-13000
SWE,Construction,-594
SWE,Vehicle Trade,-6192
SWE,Wholesale Trade,-20756
SWE,Retail Trade,-12571
SWE,Hospitality,-19234
SWE,Inland Transport,-8341
SWE,Water Transport,-675
SWE,Air Transport,-3229
SWE,Transport Services,-16489
SWE,Communications,-11536
SWE,Financial Services,-15581
SWE,Real Estate,-66920
SWE,Business Services,-12456
SWE,Public Services,-52070
SWE,Education,-49104
SWE,Health,-89781
SWE,Other Services,-37439
SWE,Private Households,-155
DEU,Agriculture,-56247
DEU,Mining,-14824
DEU,Food,-349742
DEU,Textiles,-67705
DEU,Leather,-15058
DEU,Wood,-5515
DEU,Paper,-80186
DEU,Fuel,-106241
DEU,Chemicals,-126676
DEU,Plastics,-24204
DEU,Minerals,-16049
DEU,Metals,-32473
DEU,Machinery,-53136
DEU,Electricals,-79799
DEU,Vehicles,-244241
DEU,Manufacturing,-68373
