country_iso3,sector,ggodelta,fd,pdggo
USA,Agriculture,-146580,71161.51000000001,-3.1801390312739044
USA,Mining,-10988,9196.554,-3.1230324177823907
USA,Food,-1178217,467478.16000000003,-3.097153299408817
USA,Textiles,-222239,120760.01000000001,-3.0916855907321596
USA,Leather,-49164,22686.827999999998,-3.072696261462159
USA,Wood,-12685,5448.393999999999,-3.0127388851270447
USA,Paper,-198260,91487.408,-3.0098309923466604
USA,Fuel,-469319,246426.44999999998,-2.9575398213408937
USA,Chemicals,-493501,214620.96000000002,-2.940789740265689
USA,Plastics,-75263,31134.239999999998,-2.9322732838090926
USA,Minerals,-23245,10769.087,-2.8981280810098577
USA,Metals,-96415,42689.414,-2.8903324542743105
USA,Machinery,-104412,46121.46000000001,-2.88921229998352
USA,Electricals,-202767,103812.26000000001,-2.8659465712208183
USA,Vehicles,-473570,188999.06,-2.8501767433981438
USA,Manufacturing,-179957,89917.7,-2.8327224309032797
USA,Utilities,-337123,212979.324,-2.8323214954992566
USA,Construction,-255,139.9998,-2.797568859340353
USA,Vehicle Trade,-309638,176718.82874,-2.7975006747436417
USA,Wholesale Trade,-611299,409626.766,-2.7866732945228767
USA,Retail Trade,-1560701,1026581.644,-2.775347583937957
USA,Hospitality,-1128318,607483.549,-2.6796056776932593
USA,Inland Transport,-194293,102361.8425,-2.6759345292263244
USA,Water Transport,-30269,14022.0846,-2.6749093963692325
USA,Air Transport,-179358,95929.6,-2.6730830834973096
USA,Transport Services,-26579,17020.1031,-2.66183230142016
USA,Communications,-414009,245122.59960000002,-2.6581842056093468
USA,Financial Services,-1550971,869926.3300000001,-2.652565510908874
USA,Real Estate,-2213392,1519952.009,-2.64987802603642
USA,Business Services,-466382,306976.81,-2.6454962944103078
USA,Public Services,-4792761,2783897.5483,-2.6451272155475825
USA,Education,-304953,193658.3152,-2.6402268660267283
USA,Health,-2653686,1582660.904,-2.63785045922306
USA,Other Services,-1011850,567960.132,-2.6280833174837017
USA,Private Households,-14743,14749.974089000001,-2.622312350553155
LUX,Agriculture,-744,456.344382114,-2.618109767897033
LUX,Mining,-2,2.94222936888,-2.615339360380148
